CustomerID,Gender,Type
1151412,M,GEM
1154652,M,GEM
1155441,M,GEM
1155876,M,GEM
1156989,M,REGULAR
1158868,M,GEM
1160348,M,GEM
1163815,NA,GEM
1164044,NA,GEM
1166605,NA,REGULAR
1167236,F,REGULAR
1168098,M,REGULAR
1168427,F,REGULAR
1168701,M,REGULAR
1170308,F,REGULAR
1192006,M,REGULAR
1192742,F,REGULAR
1193370,M,REGULAR
1193731,M,REGULAR
1193732,NA,REGULAR
1193738,NA,REGULAR
1193748,NA,REGULAR
1193771,F,REGULAR
1203512,M,REGULAR
1203556,F,REGULAR
1203597,M,REGULAR
1203634,F,REGULAR
1203641,M,REGULAR
1203663,F,REGULAR
1203667,M,REGULAR
1203668,M,REGULAR
1203671,M,REGULAR
1203675,M,REGULAR
1203885,M,REGULAR
1203941,M,REGULAR
1203948,M,REGULAR
1203950,M,REGULAR
1206933,NA,REGULAR
1206939,NA,REGULAR
1206940,NA,REGULAR
1206941,F,REGULAR
1206944,M,REGULAR
1206951,F,REGULAR
1206960,M,REGULAR
1206963,F,REGULAR
1206967,M,REGULAR
1206971,F,REGULAR
1206978,M,GEM
1206984,M,GEM
1206996,M,GEM
1207005,M,GEM
1207006,M,GEM
1207008,M,GEM
1207019,M,GEM
1207022,M,GEM
1207043,NA,GEM
1207056,NA,GEM
7864,NA,GEM
11623,F,GEM
26493,M,GEM
26965,F,GEM
31755,M,GEM
34037,F,GEM
46056,M,GEM
112177,F,GEM
134007,M,GEM
135361,F,REGULAR
141210,F,GEM
152580,F,REGULAR
157152,NA,GEM
229469,NA,REGULAR
237024,NA,REGULAR
273097,F,GEM
277012,M,REGULAR
278896,F,REGULAR
288954,M,REGULAR
296480,F,REGULAR
347940,F,REGULAR
351202,M,REGULAR
353533,NA,REGULAR
353746,M,REGULAR
389239,M,REGULAR
389701,M,REGULAR
396454,M,REGULAR
404792,M,REGULAR
427863,F,REGULAR
472785,F,REGULAR
504973,F,GEM
510225,NA,GEM
513164,NA,GEM
524130,NA,GEM
530020,F,GEM
541351,M,GEM
554118,F,GEM
557395,M,GEM
566937,F,GEM
567551,F,GEM
568799,M,REGULAR
570930,NA,GEM
573043,M,GEM
628488,M,GEM
629933,M,GEM
639145,M,REGULAR
647823,M,REGULAR
648038,F,REGULAR
655551,F,REGULAR
657643,F,REGULAR
658260,NA,REGULAR
661251,NA,REGULAR
662882,NA,REGULAR
672655,F,REGULAR
675779,M,REGULAR
680505,F,REGULAR
683285,M,REGULAR
700019,F,REGULAR
701563,F,REGULAR
703227,M,REGULAR
704059,M,REGULAR
705129,M,REGULAR
706467,M,REGULAR
710431,M,REGULAR
711687,M,REGULAR
716598,F,REGULAR
724594,F,REGULAR
725953,F,REGULAR
727329,NA,REGULAR
727477,NA,REGULAR
727602,NA,REGULAR
732247,F,REGULAR
